Country,Code,Year,Male (45),Female (45)
United States,USA,1790,69.099998,69.400002
United States,USA,1800,68.5,68.900002
United States,USA,1810,68.199997,68.599998
United States,USA,1820,68.199997,68.599998
United States,USA,1830,68.300003,68.699997
United States,USA,1840,68,68.400002
United States,USA,1850,67.599998,68
United States,USA,1860,67.900002,68.5
United States,USA,1870,68.800003,69.099998
United States,USA,1880,69.400002,69.900002
United States,USA,1890,69.800003,70.699997
United States,USA,1900,68.989998,70.07
United States,USA,1901,68.82,70.099998
United States,USA,1902,69.419998,70.989998
United States,USA,1903,69.050003,70.479996
United States,USA,1904,68.459999,70.050003
United States,USA,1905,68.839996,70.309998
United States,USA,1906,68.919998,70.620003
United States,USA,1907,68.330002,70.139999
United States,USA,1908,69.309998,70.93
United States,USA,1909,69.459999,71.120003
United States,USA,1910,69.080002,70.790001
United States,USA,1911,69.270004,70.919998
United States,USA,1912,69.25,71.07
United States,USA,1913,69.300003,71.160004
United States,USA,1914,69.5,71.239998
United States,USA,1915,69.389999,70.959999
United States,USA,1916,69.040001,70.770004
United States,USA,1917,68.900002,70.760002
United States,USA,1918,68.989998,70.709999
United States,USA,1919,70.660004,71.709999
United States,USA,1920,70.400002,71.220001
United States,USA,1921,71.080002,71.989998
United States,USA,1922,70.370003,71.559998
United States,USA,1923,70,71.270004
United States,USA,1924,70.209999,71.75
United States,USA,1925,70.059998,71.639999
United States,USA,1926,69.660004,71.239998
United States,USA,1927,70.150002,71.919998
United States,USA,1928,69.540001,71.339996
United States,USA,1929,69.559998,71.459999
United States,USA,1930,69.979996,72.010002
United States,USA,1931,70.160004,72.279999
United States,USA,1932,70.239998,72.25
United States,USA,1933,70.309998,72.540001
United States,USA,1934,70.029999,72.459999
United States,USA,1935,70.139999,72.610001
United States,USA,1936,69.589996,72.220001
United States,USA,1937,69.849998,72.620003
United States,USA,1938,70.529999,73.139999
United States,USA,1939,70.5,73.139999
United States,USA,1940,70.370003,73.330002
United States,USA,1941,70.660004,73.809998
United States,USA,1942,70.849998,74.139999
United States,USA,1943,70.589996,73.779999
United States,USA,1944,71.020004,74.309998
United States,USA,1945,71.160004,74.639999
United States,USA,1946,71.489998,74.979996
United States,USA,1947,71.229996,74.959999
United States,USA,1948,71.360001,75.270004
United States,USA,1949,71.559998,75.559998
United States,USA,1950,71.629997,75.760002
United States,USA,1951,71.669998,75.889999
United States,USA,1952,71.779999,76.129997
United States,USA,1953,71.800003,76.25
United States,USA,1954,72.279999,76.800003
United States,USA,1955,72.199997,76.800003
United States,USA,1956,72.160004,76.860001
United States,USA,1957,71.919998,76.729996
United States,USA,1958,72.040001,76.879997
United States,USA,1959,72.160004,77.139999
United States,USA,1960,71.989998,77.119995
United States,USA,1961,72.260002,77.400002
United States,USA,1962,72.080002,77.290001
United States,USA,1963,71.849998,77.220001
United States,USA,1964,72.099998,77.529999
United States,USA,1965,72.020004,77.599998
United States,USA,1966,71.93,77.619995
United States,USA,1967,72.129997,77.889999
United States,USA,1968,71.860001,77.82
United States,USA,1969,72.129997,78.169998
United States,USA,1970,72.270004,78.349998
United States,USA,1971,72.400002,78.449997
United States,USA,1972,72.339996,78.529999
United States,USA,1973,72.529999,78.699997
United States,USA,1974,72.940002,79.099998
United States,USA,1975,73.279999,79.520004
United States,USA,1976,73.419998,79.619995
United States,USA,1977,73.690002,79.919998
United States,USA,1978,73.800003,79.959999
United States,USA,1979,74.139999,80.32
United States,USA,1980,74.059998,80.07
United States,USA,1981,74.32,80.300003
United States,USA,1982,74.620003,80.559998
United States,USA,1983,74.57,80.410004
United States,USA,1984,74.709999,80.470001
United States,USA,1985,74.720001,80.440002
United States,USA,1986,74.919998,80.520004
United States,USA,1987,74.989998,80.449997
United States,USA,1988,75.120003,80.589996
United States,USA,1989,75.43,80.849998
United States,USA,1990,75.639999,81.029999
United States,USA,1991,75.82,81.139999
United States,USA,1992,76.010002,81.279999
United States,USA,1993,75.900002,81.040001
United States,USA,1994,76.07,81.130005
United States,USA,1995,76.169998,81.119995
United States,USA,1996,76.349998,81.169998
United States,USA,1997,76.589996,81.259995
United States,USA,1998,76.75,81.290001
United States,USA,1999,76.809998,81.190002
United States,USA,2000,77,81.229996
United States,USA,2001,77.160004,81.309998
United States,USA,2002,77.25,81.360001
United States,USA,2003,77.419998,81.470001
United States,USA,2004,77.800003,81.809998
United States,USA,2005,77.839996,81.800003
United States,USA,2006,78.139999,82.059998
United States,USA,2007,78.369995,82.270004
United States,USA,2008,78.400002,82.229996
United States,USA,2009,78.699997,82.559998
United States,USA,2010,78.82,82.630005
United States,USA,2011,78.910004,82.650002
United States,USA,2012,78.990005,82.729996
United States,USA,2013,78.990005,82.740005
United States,USA,2014,79.040001,82.809998
